codigo1;descricao1;codigo2;descricao2;codigo3;descricao3;codigo4;descricao4;est_atend;Un_med;Un_con;Fator;Est_aqui;Capacidade;Ciclo;Velocidade;Acessorios
PRP025;ESPONJAS;BT0063;SUPERPRO;C9504/3;FIBRA LIMPEZA LEVE EMB C/3 1X40;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9504INB;FIBRA LIMPEZA LEVE INBRISA 1X100;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9505;FIBRA LIMP. PESADA 130X240 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9505E;FIBRA LIMP. PESADA 130X240 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9506;FIBRA LIMP PESADA 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9506/2;FIBRA LIMPEZA PESADA EMB. C/2 1X50;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C950610;FIBRA LIMPEZA PESADA EM ROLO 134MMX10M;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C950610E;MANTA ABRASIVA - 1X1;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C95062;FIBRA LIMP. PESADA 102X260 1X100 2L;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9506BA;FIBRA LIMP PESADA 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9506TA;FIBRA NYLON LIMPESA PESADA 5X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9508;FIBRA LIMP BETTACO 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9508E;FIBRA LIMPEZA BETTACO - 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9509;FIBRA LIMP. LEVE AZUL 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9509/3;FIBRA LIMP LEVE AZUL EMB C/3 1X40;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9509E;FIBRA LIMP LEVE AZUL 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9510;MANTA DE NYLON FILTRO SP-6 10X1X6 1X1;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9511;MANTA DE NYLON FILTRO SP/8 10X1X8 1X1;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9512;MANTA DE NYLON FILTRO SP-10 10X1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9513;FIBRA ASF CINZA 260X102-1X10X10 GRAO400;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9515;SUPORTE MANUAL P/BETTACO 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9515E;SUPORTE MANUAL P/BETTACO 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9516;SUPORTE P/FIBRA ABRASIVA BT/LT 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9516BR;SUPORTE P/FIBRAS LT - 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9516BRE;SUPORTE P/FIBRAS LT - 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9517;SUPORTE C/VELCRO P/FIBRA ABRAS 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9518;FIBRA ESPECIAL 21X21 (PAMPEANO) 1X100;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9521;FIBRA ABRASIVA BETTACO FINA - 20X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C952290FR;MANTA FRIGORIFICO VERDE;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9522FR;FIBRA USO GERAL FRIGORIFICO - 12X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9522FRBA;FIBRA SLIM USO GERAL 1X10X12;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9522FRBA2;FIBRA SLIM USO GERAL 101X225/2 1X10X12;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9522FRE;FIBRA USO GERAL FRIGORIFICO - 10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9522FRTA;FIBRA NYLON USO GERAL VERDE 5X24;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C952390FR;MANTA FRIGORIFICO BRANCA;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9523FRTA;FIBRA NYLON USO GERAL BRANCA 5X24;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9526FR;FIBRA SLIM VD LIMPEZA PESADA 1X120;;;;;;1;;;;;
PRP028;FIBRAS;BT0063;SUPERPRO;C9527;FIBRA ULTRA PESADA 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9610;DISCO REMOVEDOR PRETO 105MM -1X40;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9615;FIBRA FINA VERMELHA F 275X225 - 1X100;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9625;DISCO REMOVEDOR PRETO 250MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9627;DISCO REMOVEDOR PRETO 270MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9630;DISCO REMOVEDOR PRETO 300MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9630CA;DISCO REMOVEDOR PRETO 300MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9630E;DISCO REMOVEDOR PRETO 300 MM - 1 X 20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9630S;DISCO REMOVEDOR PRETO ONDA 300MM-1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9635;DISCO REMOVEDOR PRETO 350MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9635CA;DISCO REMOVEDOR PRETO 350MM 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9635E;DISCO REMOVEDOR PRETO 350 MM - 1 X 20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9635S;DISCO REMOVEDOR PRETO ONDA 350MM-1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9638;DISCO REMOVEDOR PRETO 380MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9638CA;DISCO REMOVEDOR PRETO 380MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9638S;DISCO REMOV. PRETO ONDA 380MM - 1 X 20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9641;DISCO REMOVEDOR PRETO 410MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9641CA;DISCO REMOVEDOR PRETO 410MM 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9641E;DISCO REMOVEDOR PRETO 410 MM - 1 X 20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9641S;DISCO REMOVEDOR PRETO ONDA 410MM-1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9644;DISCO REMOVEDOR PRETO 440MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9644BA;DISCO REMOV PRETO ABRASIVO 440MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9644CA;DISCO REMOVEDOR PRETO 440MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9651;DISCO REMOVEDOR PRETO 510MM 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9651CA;DISCO REMOVEDOR PRETO 510MM 1X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9651E;DISCO REMOVEDOR PRETO 510 MM - 1 X 20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9651S;DISCO REMOVEDOR PRETO ONDA 510MM-1X20;;;;;;1;;;;;
PRP067;VASSOURAS SINTETICAS;BT0063;SUPERPRO;C9672C;VASSOURA NOVICA PRO C/CABO 1X15 LARANJA;;;;;;1;;;;;
PRP067;VASSOURAS SINTETICAS;BT0063;SUPERPRO;C9672CE;VASSOURA NOVICA PRO C/CABO 1X12 LARANJA;;;;;;1;;;;;
PRP067;VASSOURAS SINTETICAS;BT0063;SUPERPRO;C9673C;VASSOURA NOVICA PRO C/CABO 1X15 AZUL;;;;;;1;;;;;
PRP067;VASSOURAS SINTETICAS;BT0063;SUPERPRO;C9673CE;VASSOURA NOVICA PRO C/CABO 1X12 AZUL;;;;;;1;;;;;
PRP067;VASSOURAS SINTETICAS;BT0063;SUPERPRO;C9674C;VASSOURA NOVICA PRO C/CABO 1X15 VERMELHA;;;;;;1;;;;;
